0,City,Country,Latitude,Temperature,Humidity,Cloud Cover,Wind Speed,Date
<citipy.citipy.City object at 0x0000020760F50C88>,sentyabrskiy,ru,,,,,,
<citipy.citipy.City object at 0x000002076103D9B0>,longyearbyen,sj,78.22,10.4,72,40,2.24,1521784200
<citipy.citipy.City object at 0x000002076102F2E8>,jamestown,sh,-33.21,77.94,71,8,4.38,1521786685
<citipy.citipy.City object at 0x00000207615A5208>,east london,za,-33.02,69.39,100,80,19.48,1521786718
<citipy.citipy.City object at 0x0000020761017668>,victoria,sc,5.28,86.92,74,75,9.17,1521783000
<citipy.citipy.City object at 0x000002075FF7CF60>,tasiilaq,gl,65.61,28.4,86,88,4.7,1521784200
<citipy.citipy.City object at 0x000002075FA74710>,torbay,ca,47.66,30.2,100,90,4.7,1521784800
<citipy.citipy.City object at 0x000002076107E128>,adre,td,13.47,71.28,75,0,9.64,1521787023
<citipy.citipy.City object at 0x0000020760F23C88>,poputnaya,ru,44.51,30.87,97,92,6.29,1521787024
<citipy.citipy.City object at 0x000002075F6FF828>,bathsheba,bb,13.22,77,78,40,18.34,1521784800
<citipy.citipy.City object at 0x000002075FA30198>,flin flon,ca,54.77,17.73,72,8,9.42,1521787025
<citipy.citipy.City object at 0x0000020761062B38>,bandarbeyla,so,9.49,77.76,100,48,2.82,1521787025
<citipy.citipy.City object at 0x00000207608CB208>,kavieng,pg,-2.57,86.31,94,64,12.55,1521786762
<citipy.citipy.City object at 0x000002075FEE6160>,omboue,ga,-1.57,76.95,100,88,5.28,1521787026
<citipy.citipy.City object at 0x0000020760437470>,hasaki,jp,35.73,53.51,54,75,8.05,1521784800
<citipy.citipy.City object at 0x00000207615AC0B8>,kruisfontein,za,-34,63.36,90,0,11.32,1521786719
<citipy.citipy.City object at 0x00000207604BA048>,nantucket,us,41.28,34.86,100,1,9.17,1521784560
<citipy.citipy.City object at 0x0000020760E08B38>,galich,ru,58.38,21.24,93,92,13.22,1521787027
<citipy.citipy.City object at 0x000002075FB07A58>,avarua,ck,-21.21,80.6,88,75,4.7,1521784800
<citipy.citipy.City object at 0x0000020760DF0A90>,dikson,ru,73.51,-12.34,98,64,26.42,1521786716
<citipy.citipy.City object at 0x0000020760801EB8>,harlingen,nl,26.19,70.14,82,0,10.29,1521785700
<citipy.citipy.City object at 0x00000207605A2B70>,brookings,us,44.31,34.27,80,90,11.41,1521785700
<citipy.citipy.City object at 0x00000207607C2E48>,opuwo,na,-18.06,58.59,80,24,2.82,1521786694
<citipy.citipy.City object at 0x0000020760F65AC8>,shumskiy,ru,54.83,54.9,45,48,5.84,1521787028
<citipy.citipy.City object at 0x000002075F964BA8>,clyde river,ca,70.47,-29.21,66,20,5.82,1521784800
<citipy.citipy.City object at 0x000002075F74C668>,mar del plata,ar,-46.43,57.42,71,12,19.93,1521786714
<citipy.citipy.City object at 0x00000207607CCCF8>,goure,ne,13.98,76.5,30,8,9.98,1521787029
<citipy.citipy.City object at 0x000002075F796278>,ulladulla,au,-35.36,69.8,64,90,6.93,1521784800
<citipy.citipy.City object at 0x000002076101B8D0>,marawi,sd,8,72.36,100,88,3.04,1521786787
